State,Micro_Service,Small_Service,Medium_Service,Micro_Manufacturer,Small_Manufacturer,Medium_Manufacturer,Total_MSME_Service,Total_MSME_Manufacturer,Grand_Total_MSME,GSDP_USD_Billion
ANDAMAN AND NICOBAR ISLANDS,9253,189,8,2158,45,2,9450,2205,11655,1.50
ANDHRA PRADESH,575094,13817,795,153247,7330,838,589706,161415,751121,152.20
ARUNACHAL PRADESH,7966,199,12,3222,100,8,8177,3330,11507,4.70
ASSAM,281428,5785,376,125597,2045,178,287589,127820,415409,55.40
BIHAR,701527,12393,581,240769,2765,231,714501,243765,958266,87.30
CHANDIGARH,28895,1222,115,5806,463,68,30232,6337,36569,6.10
CHHATTISGARH,260489,6386,535,57162,3293,509,267410,60964,328374,54.60
DELHI,383425,19353,2294,156297,14159,1656,405072,172112,577184,121.40
GOA,38480,905,62,7393,461,65,39447,7919,47366,11.10
GUJARAT,1062431,29773,2298,547014,39804,4737,1094502,591555,1686057,265.40
HARYANA,563747,15015,1053,178136,13602,1589,579815,193327,773142,116.90
HIMACHAL PRADESH,116498,1922,98,22801,1344,282,118518,24427,142945,23.70
JAMMU AND KASHMIR,277455,3278,163,103288,1164,113,280896,104565,385461,26.80
JHARKHAND,313389,5569,273,76621,1756,219,319231,78596,397827,48.10
KARNATAKA,978481,24349,1701,316910,13167,1587,1004531,331664,1336195,263.50
KERALA,386882,10762,660,147044,5018,551,398304,152613,550917,125.20
LADAKH,7367,78,3,2379,28,0,7448,2407,9855,0.00
LAKSHADWEEP,686,0,0,122,0,0,686,122,808,0.00
MADHYA PRADESH,858925,15630,738,226061,8843,983,875293,235887,1111180,152.50
MAHARASHTRA,3030539,51678,4891,867785,36265,5135,3087108,909185,3996293,417.20
MANIPUR,32573,408,21,29196,138,3,33002,29337,62339,4.90
MEGHALAYA,14582,270,27,3388,105,15,14879,3508,18387,5.20
MIZORAM,16044,146,7,4391,51,1,16197,4443,20640,3.70
NAGALAND,13280,136,10,7436,63,5,13426,7504,20930,4.30
ODISHA,390376,9159,540,107896,2783,290,400075,110969,511044,90.10
PUDUCHERRY,27376,502,39,6442,330,41,27917,6813,34730,5.90
PUNJAB,625875,12410,771,227723,10899,1279,639056,239901,878957,82.40
RAJASTHAN,1176137,19162,1111,475985,16131,1520,1196410,493636,1690046,163.50
SIKKIM,7735,127,11,1440,29,4,7873,1473,9346,5.00
TAMIL NADU,1617569,26565,1839,663673,23707,2488,1645973,689868,2335841,278.00
TELANGANA,624524,14414,1218,159434,8783,1383,640156,169600,809756,151.50
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,4645,42,3,1034,46,7,4690,1087,5777,0.00
TRIPURA,33869,617,27,15101,232,36,34513,15369,49882,8.40
UTTAR PRADESH,1576955,32952,2013,595137,17221,1833,1611920,614191,2226111,265.10
UTTARAKHAND,178842,3068,128,43762,2203,279,182038,46244,228282,36.50
WEST BENGAL,665703,19658,1452,243465,9696,1181,686813,254342,941155,183.10
